dataset,feature,extreme,prompt_count,prompts_with_tie_rate,mean_tie_size,best_among_extreme_rate,leaky_row_order_top1_rate,safe_candidate_index_top1_rate
train_all_batches,selected_evidence_count,max,300,0.7633333333333333,3.3,0.78,0.78,0.49666666666666665
train_all_batches,evidence_weights_count,max,300,0.75,3.203333333333333,0.75,0.75,0.49666666666666665
train_all_batches,abs_explanation_delta,max,300,0.3233333333333333,2.013333333333333,0.63,0.63,0.6166666666666667
train_all_batches,confidence,max,299,0.4013377926421405,2.130434782608696,0.5551839464882943,0.5551839464882943,0.5117056856187291
train_all_batches,posterior,max,300,0.3333333333333333,2.04,0.5933333333333334,0.5933333333333334,0.5933333333333334
train_all_batches,posterior,min,300,0.3933333333333333,2.1566666666666667,0.6566666666666666,0.6566666666666666,0.6566666666666666
heldout_test72,selected_evidence_count,max,62,0.6451612903225806,2.8225806451612905,0.7096774193548387,0.7096774193548387,0.43548387096774194
heldout_test72,evidence_weights_count,max,62,0.5967741935483871,2.6451612903225805,0.6612903225806451,0.6612903225806451,0.43548387096774194
heldout_test72,abs_explanation_delta,max,62,0.16129032258064516,1.596774193548387,0.6129032258064516,0.6129032258064516,0.6129032258064516
heldout_test72,confidence,max,62,0.3870967741935484,1.9516129032258065,0.43548387096774194,0.43548387096774194,0.3709677419354839
heldout_test72,posterior,max,62,0.16129032258064516,1.596774193548387,0.6290322580645161,0.6290322580645161,0.6290322580645161
heldout_test72,posterior,min,62,0.2903225806451613,1.8387096774193548,0.5483870967741935,0.5483870967741935,0.5483870967741935
